SEP=,
Translation key (DON'T EDIT),TRANSLATION IN fr_fr - EDIT THIS COLUMN,English text (DON'T EDIT - reference only)
painting.palamod.the_nether.title,Le Nether,The Nether
item.palamod.fake_water_bucket,Fausse Eau,Fake Water
item.palamod.music_fuze,Disque de musique,Music Disc
entity.minecraft.villager.palamod.purifier,Purificateur,Purifier
item.palamod.fuze_reine_des_neige_disk,Disque de musique,Music Disc
block.palamod.jacaranda_button,Bouton de Jacaranda,Jacaranda Button
painting.palamod.large_paladium.author,Paladium,Paladium
item.palamod.amethyst_chestplate,Plastron d'Améthyste,Amethyst Chestplate
painting.palamod.minuit.title,Minuit,Minuit
item.palamod.christmas_musicoriginal.desc,Musique de Noël - Jingle Bell,Christmas Music - Jingle Bell
item.palamod.halloween_pickaxe,Pioche d'Halloween,Halloween Pickaxe
item.palamod.paladium_trim_1_leggings,Jambières de Paladium,Paladium Leggings
block.palamod.titane_ore,Minerai de Titane,Titane Ore
painting.palamod.the_sunset.title,Le coucher du soleil,The Sunset
block.palamod.slime_obsidian,Obsidienne de Slime,Slime Obsidian
item.palamod.strength_stick,Baton de Force,Strength Stick
block.palamod.judeercercis_button,Bouton de Judeecercis,Judeecercis Button
item.palamod.guardian_hammer,Marteau Gardien,Guardian Hammer
item.palamod.travel_leggings,Jambières de Travel,Travel Leggings
item.palamod.paladium_trim_6_leggings,Jambières de Paladium,Paladium Leggings
block.palamod.judeecercis_sappling,Judeecercis Sappling,Judeecercis Sappling
item.palamod.skeleton_leggings,Jambières de Skeleton,Skeleton Leggings
gui.palamod.grinder_block_gui.label_grinder,Broyeur,Grinder
block.palamod.ostrya_sappling,Ostrya Sappling,Ostrya Sappling
block.palamod.titane_chest,Coffre de Titane,Titane Chest
painting.palamod.the_beautifull_sky.author,Paladium,Paladium
item.palamod.paladium_trim_10_leggings.description_0,Wild Armor Trim,Wild Armor Trim
block.palamod.ostrya_leaves,Ostrya Feuilles,Ostrya Leaves
item.palamod.amethyst_seedplanter,Améthyste Seedplanter,Amethyst Seedplanter
item.palamod.paladium_trim_5_leggings.description_0,Silence Armor Trim,Silence Armor Trim
painting.palamod.the_sun_falls.author,Paladium,Paladium
item.palamod.scuba_helmet,Casque d'Scuba,Scuba Helmet
item.palamod.legendary_stone_random.description_0,Click and you will get a random legendary stone,Click and you will get a random legendary stone
block.palamod.obsidian_stair,Obsidian Escaliers,Obsidian Stairs
item.palamod.capture_stone_full_snow_golem,Capture Stone Full,Capture Stone Full
